1,0:03,Black Sabbath,War Pigs
1,0:13,2Pac featuring K-Ci & JoJo,How Do U Want It
1,0:15,Jay-Z,99 Problems
1,0:20,Ludacris featuring Mystikal and I-20,Move Bitch
1,1:20,Jay-Z featuring Alicia Keys,Empire State of Mind
1,2:01,Charles Wright & the Watts 103rd Street Rhythm Band,Express Yourself
1,2:04,Eminem featuring Dr. Dre and 50 Cent,Crack A Bottle
1,2:09,Cali Swag District,Teach Me How to Dougie
1,2:13,Jane's Addiction,Jane Says
1,2:40,T.I. and Jay-Z featuring Kanye West and Lil Wayne,Swagga Like Us
1,2:40,M.I.A.,Paper Planes
1,2:45,St. Lunatics,Gimme What You Got
1,2:45,Dorrough,Ice Cream Paint Job
1,2:45,The Brothers Johnson,Strawberry Letter 23
1,4:15,Slick Rick,La Di Da Di
1,4:18,The Doors,Waiting For the Sun
1,4:20,Ramones,Blitzkrieg Bop
1,4:45,Trina featuring Killer Mike,Look Back At Me
1,4:56,Missy Elliott,Get Ur Freak On
1,5:10,LMFAO (band),Yes
2,0:00,Ramones,Blitzkrieg Bop
2,0:00,Missy Elliott,Get Ur Freak On
2,0:09,General Public,Tenderness
2,0:16,Jay-Z featuring Amil and Ja Rule,Can I Get A...
2,1:25,Juicy J featuring Project Pat,Twerk
2,2:30,Electric Light Orchestra,Mr. Blue Sky
2,2:44,Craig Mack,Flava in Ya Ear
2,2:53,Jay-Z,D.O.A
2,2:55,GZA,Liquid Swords
2,3:15,Beck,Loser
2,3:19,Jim Jones and Ron Browz featuring Juelz Santana,Pop Champagne
2,3:25,Snoop Dogg featuring Pharrell,Drop It Like It's Hot
2,3:58,Wale featuring Gucci Mane,Pretty Girls
2,4:42,Jean Knight,Mr. Big Stuff
2,5:14,Sir Mix-a-Lot,Posse on Broadway
2,5:16,Black Rob,Whoa!
2,5:25,Fugazi,Waiting Room
2,5:34,Dr. Octagon,Blue Flowers
2,5:36,Rihanna,Rude Boy
3,0:00,Rihanna,Rude Boy
3,0:02,Fabolous featuring Nate Dogg,You Can't Deny It
3,0:21,Peter Gabriel,In Your Eyes
3,0:25,Foxy Brown,Hot Spot
3,0:31,Nine Inch Nails,Closer
3,1:41,Spacehog,"In the Meantime (portion sampled samples ""Telephone and Rubber Band"" by Penguin Cafe Orchestra)"
3,1:51,Terror Squad,Lean Back
3,2:35,Ester Dean featuring Chris Brown,Drop It Low
3,2:42,T La Rock,"It's Yours (portion sampled samples ""I Like Funky Music"" by Uncle Louie)"
3,2:44,Beastie Boys,Paul Revere
3,2:44,Beyonce,Single Ladies (Put a Ring on It)
3,3:53,M.O.P.,Ante Up
3,4:03,Miley Cyrus,Party in the U.S.A.
3,5:21,Dr. Dre featuring Snoop Dogg and Nate Dogg,The Next Episode
4,0:00,Portishead,Sour Times
4,0:10,Big Boi featuring Cutty,Shutterbugg
4,1:18,The Edgar Winter Group,Frankenstein
4,1:27,Diddy,Tell Me
4,1:31,50 Cent,Disco Inferno
4,1:32,Skee-Lo,I Wish
4,1:42,T'Pau,Heart and Soul
4,2:42,OJ Da Juiceman,Make tha Trap Say Aye
4,2:47,Jadakiss,Who's Real
4,2:50,New Edition,If It Isn't Love
4,2:52,Radiohead,Creep
4,3:04,Ol' Dirty Bastard,Shimmy Shimmy Ya (Extended Version)
4,4:25,Prince,Delirious
4,4:40,Master P,Rock It
4,5:09,Iggy Pop,Lust for Life
4,5:09,Beastie Boys,Hey Ladies
4,5:15,White Town,Your Woman
4,5:18,Lady GaGa,LoveGame
5,0:00,Herbie Hancock,Rockit
5,0:04,Bananarama,Cruel Summer
5,0:04,Justin Timberlake,SexyBack
5,0:09,Diddy-Dirty Money,Hello Good Morning
5,0:46,Lil' Kim,The Jump Off
5,0:47,Genesis,"Tonight, Tonight, Tonight"
5,0:54,Phil Collins,Take Me Home
5,0:59,The Jackson 5,I Want You Back
5,1:06,N.W.A.,Straight Outta Compton
5,1:53,Busta Rhymes,Stop the Party
5,1:56,Billy Squier,The Big Beat
5,1:58,DMX,Party Up
5,2:06,Beastie Boys,Intergalactic
5,2:08,Toadies,Possum Kingdom
5,2:16,B.o.B featuring Bruno Mars,Nothin' On You
5,2:56,DJ Jubilee,"Get It Ready, Ready!"
5,3:36,Lil Jon and the East Side Boyz featuring Ying Yang Twins,Get Low
5,3:48,Simon and Garfunkel,Cecilia
5,3:57,U2,Sunday Bloody Sunday
5,4:22,Third Eye Blind,Semi-Charmed Life
5,4:48,The Grateful Dead,Casey Jones
5,4:51,E-A-Ski And CMT,Listen To The Hit
5,4:52,INXS,Need You Tonight
5,5:01,Fabolous,Young'n (Holla Back)
5,5:35,LL Cool J,Jinglin' Baby
5,5:36,The Clash,Should I Stay or Should I Go
6,0:00,Cream,Sunshine of Your Love
6,0:07,"The Notorious B.I.G. featuring Diddy, Nelly, Jagged Edge and Avery Storm",Nasty Girl
6,1:14,Kesha,Tik Tok
6,1:27,Grand Funk Railroad,We're an American Band
6,1:29,New Order,Bizarre Love Triangle
6,1:32,Birdman featuring Kevin Rudolf and Lil Wayne,I Want It All
6,1:55,Trina,Pull Over
6,2:37,White Zombie,Thunderkiss '65
6,2:44,Ying Yang Twins,Wild Out
6,3:35,Ludacris,Everybody Drunk
6,3:47,De La Soul,Me Myself and I
6,3:48,The Emotions,Best of My Love
6,3:57,U2,With or Without You
6,4:04,Twista,Wetter
6,5:01,Lady Gaga,Bad Romance
7,0:00,Lady Gaga,Bad Romance
7,0:00,Aphex Twin,Windowlicker
7,0:07,Soulja Boy,Pretty Boy Swag
7,1:16,Ice Cube,You Can Do It
7,1:29,Black Eyed Peas,Boom Boom Pow
7,1:34,Daft Punk,One More Time
7,1:47,Rage Against the Machine,Killing in the Name
7,1:55,Rye Rye & M.I.A,Bang
7,2:24,Steve Miller Band,Jungle Love
7,2:30,Depeche Mode,Just Can't Get Enough
7,2:38,Pitbull,Hotel Room Service
7,3:40,Kid Cudi,Day 'n' Nite (Crookers Remix)
7,3:51,The Who,Won't Get Fooled Again
7,3:53,Katy Perry,California Gurls
7,3:54,Frankie Smith,Double Dutch Bus
7,4:00,Daft Punk,Digital Love
7,4:10,Missy Elliott featuring Ludacris,Gossip Folks
7,4:40,Pitbull featuring T-Pain,Hey Baby (Drop It to the Floor)
7,5:25,MGMT,Kids
8,0:00,Belinda Carlisle,Heaven Is a Place on Earth
8,0:03,Ying Yang Twins,Owhh
8,0:18,Derek and the Dominos,Layla
8,0:31,B.o.B,Haterz Everywhere
8,1:54,Michael Jackson,Black or White
8,1:56,Flo Rida,Right Round
8,2:02,DJ Class,I'm the Shit
8,2:04,Crystal Waters,Gypsy Woman
8,2:36,Madness,Our House”
8,2:18,Dominique Young Unique,Show My Ass
8,3:45,"T. Rex - “20th Century Boy""",
8,3:47,MSTRKRFT featuring N.O.R.E.,Bounce
8,4:48,Kylie Minogue,Can't Get You Out of My Head
8,4:48,Young MC,Bust a Move
8,5:46,Usher,OMG
8,5:47,The Rapture,House of Jealous Lovers
8,5:54,The Temptations,Get Ready
8,5:56,Trick Daddy,Shut Up
8,6:16,2 Live Crew,Get It Girl
9,0:00,Cyndi Lauper,Time After Time
9,0:04,Young Dro feat. Gucci Mane,Freeze me
